Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.8s

step 00071 (15.0%) | loss: 6.659610 | lrm: 1.00 | dt: 641ms | tok/sec: 25,573 | epoch: 1 | remaining: 254s    
step 00072 (15.2%) | loss: 6.636584 | lrm: 1.00 | dt: 646ms | tok/sec: 25,350 | epoch: 1 | remaining: 254s    
step 00073 (15.5%) | loss: 6.619524 | lrm: 1.00 | dt: 653ms | tok/sec: 25,080 | epoch: 1 | remaining: 253s    
step 00074 (15.7%) | loss: 6.615500 | lrm: 1.00 | dt: 649ms | tok/sec: 25,261 | epoch: 1 | remaining: 252s    
step 00075 (15.9%) | loss: 6.610062 | lrm: 1.00 | dt: 643ms | tok/sec: 25,480 | epoch: 1 | remaining: 252s    
step 00076 (16.1%) | loss: 6.596614 | lrm: 1.00 | dt: 643ms | tok/sec: 25,474 | epoch: 1 | remaining: 251s    
step 00077 (16.3%) | loss: 6.588861 | lrm: 1.00 | dt: 642ms | tok/sec: 25,503 | epoch: 1 | remaining: 250s    
step 00078 (16.5%) | loss: 6.570493 | lrm: 1.00 | dt: 655ms | tok/sec: 24,995 | epoch: 1 | remaining: 250s    
step 00079 (16.8%) | loss: 6.557076 | lrm: 1.00 | dt: 645ms | tok/sec: 25,406 | epoch: 1 | remaining: 249s    
step 00080 (17.0%) | loss: 6.558135 | lrm: 1.00 | dt: 647ms | tok/sec: 25,335 | epoch: 1 | remaining: 248s    
step 00081 (17.2%) | loss: 6.541660 | lrm: 1.00 | dt: 640ms | tok/sec: 25,587 | epoch: 1 | remaining: 248s    
step 00082 (17.4%) | loss: 6.523370 | lrm: 1.00 | dt: 643ms | tok/sec: 25,475 | epoch: 1 | remaining: 247s    
step 00083 (17.6%) | loss: 6.510934 | lrm: 1.00 | dt: 654ms | tok/sec: 25,065 | epoch: 1 | remaining: 247s    
step 00084 (17.8%) | loss: 6.505919 | lrm: 1.00 | dt: 646ms | tok/sec: 25,348 | epoch: 1 | remaining: 246s    
step 00085 (18.0%) | loss: 6.490916 | lrm: 1.00 | dt: 640ms | tok/sec: 25,582 | epoch: 1 | remaining: 245s    
step 00086 (18.3%) | loss: 6.478568 | lrm: 1.00 | dt: 641ms | tok/sec: 25,557 | epoch: 1 | remaining: 245s    
step 00087 (18.5%) | loss: 6.460707 | lrm: 1.00 | dt: 644ms | tok/sec: 25,451 | epoch: 1 | remaining: 244s    
step 00088 (18.7%) | loss: 6.440721 | lrm: 1.00 | dt: 649ms | tok/sec: 25,264 | epoch: 1 | remaining: 243s    
step 00089 (18.9%) | loss: 6.435802 | lrm: 1.00 | dt: 650ms | tok/sec: 25,211 | epoch: 1 | remaining: 243s    
step 00090 (19.1%) | loss: 6.428989 | lrm: 1.00 | dt: 642ms | tok/sec: 25,528 | epoch: 1 | remaining: 242s    
step 00091 (19.3%) | loss: 6.422774 | lrm: 1.00 | dt: 641ms | tok/sec: 25,549 | epoch: 1 | remaining: 241s    
step 00092 (19.5%) | loss: 6.407434 | lrm: 1.00 | dt: 647ms | tok/sec: 25,332 | epoch: 1 | remaining: 241s    
step 00093 (19.8%) | loss: 6.391249 | lrm: 1.00 | dt: 640ms | tok/sec: 25,586 | epoch: 1 | remaining: 240s    
step 00094 (20.0%) | loss: 6.384497 | lrm: 1.00 | dt: 643ms | tok/sec: 25,499 | epoch: 1 | remaining: 239s    
step 00095 (20.2%) | loss: 6.377835 | lrm: 1.00 | dt: 642ms | tok/sec: 25,523 | epoch: 1 | remaining: 239s    
step 00096 (20.4%) | loss: 6.367262 | lrm: 1.00 | dt: 645ms | tok/sec: 25,418 | epoch: 1 | remaining: 238s    
step 00097 (20.6%) | loss: 6.361478 | lrm: 1.00 | dt: 654ms | tok/sec: 25,049 | epoch: 1 | remaining: 237s    
step 00098 (20.8%) | loss: 6.353191 | lrm: 1.00 | dt: 640ms | tok/sec: 25,581 | epoch: 1 | remaining: 237s    
step 00099 (21.0%) | loss: 6.353273 | lrm: 1.00 | dt: 642ms | tok/sec: 25,506 | epoch: 1 | remaining: 236s    
step 00100 (21.3%) | loss: 6.337298 | lrm: 1.00 | dt: 647ms | tok/sec: 25,328 | epoch: 1 | remaining: 236s    
step 00101 (21.5%) | loss: 6.327773 | lrm: 1.00 | dt: 645ms | tok/sec: 25,421 | epoch: 1 | remaining: 235s    
step 00102 (21.7%) | loss: 6.318288 | lrm: 1.00 | dt: 650ms | tok/sec: 25,215 | epoch: 1 | remaining: 234s    
step 00103 (21.9%) | loss: 6.320067 | lrm: 1.00 | dt: 641ms | tok/sec: 25,570 | epoch: 1 | remaining: 234s    
step 00104 (22.1%) | loss: 6.308481 | lrm: 1.00 | dt: 648ms | tok/sec: 25,286 | epoch: 1 | remaining: 233s    
step 00105 (22.3%) | loss: 6.306071 | lrm: 1.00 | dt: 645ms | tok/sec: 25,397 | epoch: 1 | remaining: 232s    
step 00106 (22.6%) | loss: 6.299076 | lrm: 1.00 | dt: 647ms | tok/sec: 25,322 | epoch: 1 | remaining: 232s    
step 00107 (22.8%) | loss: 6.285609 | lrm: 1.00 | dt: 641ms | tok/sec: 25,554 | epoch: 1 | remaining: 231s    
step 00108 (23.0%) | loss: 6.286797 | lrm: 1.00 | dt: 640ms | tok/sec: 25,598 | epoch: 1 | remaining: 230s    
step 00109 (23.2%) | loss: 6.262342 | lrm: 1.00 | dt: 643ms | tok/sec: 25,494 | epoch: 1 | remaining: 230s    
step 00110 (23.4%) | loss: 6.253123 | lrm: 1.00 | dt: 642ms | tok/sec: 25,507 | epoch: 1 | remaining: 229s    
step 00111 (23.6%) | loss: 6.244842 | lrm: 1.00 | dt: 651ms | tok/sec: 25,178 | epoch: 1 | remaining: 228s    
step 00112 (23.8%) | loss: 6.232662 | lrm: 1.00 | dt: 641ms | tok/sec: 25,553 | epoch: 1 | remaining: 228s    
step 00113 (24.1%) | loss: 6.227145 | lrm: 1.00 | dt: 639ms | tok/sec: 25,621 | epoch: 1 | remaining: 227s    
step 00114 (24.3%) | loss: 6.209437 | lrm: 1.00 | dt: 642ms | tok/sec: 25,525 | epoch: 1 | remaining: 227s    
