Data/tokenizer loaded in 0.1s
Time budget: 300s
Gradient accumulation steps: 1
Model compiled in 0.4s

step 00070 (7.7%) | loss: 6.944221 | lrm: 1.00 | dt: 332ms | tok/sec: 24,664 | epoch: 1 | remaining: 277s    
step 00071 (7.8%) | loss: 6.918639 | lrm: 1.00 | dt: 336ms | tok/sec: 24,412 | epoch: 1 | remaining: 276s    
step 00072 (7.9%) | loss: 6.905650 | lrm: 1.00 | dt: 335ms | tok/sec: 24,487 | epoch: 1 | remaining: 276s    
step 00073 (8.0%) | loss: 6.901302 | lrm: 1.00 | dt: 333ms | tok/sec: 24,625 | epoch: 1 | remaining: 276s    
step 00074 (8.1%) | loss: 6.879304 | lrm: 1.00 | dt: 333ms | tok/sec: 24,635 | epoch: 1 | remaining: 275s    
step 00075 (8.2%) | loss: 6.868809 | lrm: 1.00 | dt: 331ms | tok/sec: 24,727 | epoch: 1 | remaining: 275s    
step 00076 (8.3%) | loss: 6.843044 | lrm: 1.00 | dt: 334ms | tok/sec: 24,547 | epoch: 1 | remaining: 275s    
step 00077 (8.5%) | loss: 6.822648 | lrm: 1.00 | dt: 340ms | tok/sec: 24,102 | epoch: 1 | remaining: 274s    
step 00078 (8.6%) | loss: 6.808206 | lrm: 1.00 | dt: 332ms | tok/sec: 24,673 | epoch: 1 | remaining: 274s    
step 00079 (8.7%) | loss: 6.795794 | lrm: 1.00 | dt: 333ms | tok/sec: 24,606 | epoch: 1 | remaining: 274s    
step 00080 (8.8%) | loss: 6.811701 | lrm: 1.00 | dt: 331ms | tok/sec: 24,749 | epoch: 1 | remaining: 273s    
step 00081 (8.9%) | loss: 6.810048 | lrm: 1.00 | dt: 332ms | tok/sec: 24,654 | epoch: 1 | remaining: 273s    
step 00082 (9.0%) | loss: 6.796753 | lrm: 1.00 | dt: 332ms | tok/sec: 24,655 | epoch: 1 | remaining: 273s    
step 00083 (9.1%) | loss: 6.778085 | lrm: 1.00 | dt: 334ms | tok/sec: 24,534 | epoch: 1 | remaining: 272s    
step 00084 (9.2%) | loss: 6.761816 | lrm: 1.00 | dt: 333ms | tok/sec: 24,598 | epoch: 1 | remaining: 272s    
step 00085 (9.3%) | loss: 6.735974 | lrm: 1.00 | dt: 332ms | tok/sec: 24,680 | epoch: 1 | remaining: 272s    
step 00086 (9.5%) | loss: 6.722339 | lrm: 1.00 | dt: 333ms | tok/sec: 24,604 | epoch: 1 | remaining: 271s    
step 00087 (9.6%) | loss: 6.699533 | lrm: 1.00 | dt: 347ms | tok/sec: 23,590 | epoch: 1 | remaining: 271s    
step 00088 (9.7%) | loss: 6.688812 | lrm: 1.00 | dt: 332ms | tok/sec: 24,707 | epoch: 1 | remaining: 271s    
step 00089 (9.8%) | loss: 6.690299 | lrm: 1.00 | dt: 331ms | tok/sec: 24,712 | epoch: 1 | remaining: 270s    
step 00090 (9.9%) | loss: 6.680600 | lrm: 1.00 | dt: 335ms | tok/sec: 24,460 | epoch: 1 | remaining: 270s    
step 00091 (10.0%) | loss: 6.677275 | lrm: 1.00 | dt: 334ms | tok/sec: 24,522 | epoch: 1 | remaining: 270s    
step 00092 (10.1%) | loss: 6.664879 | lrm: 1.00 | dt: 333ms | tok/sec: 24,612 | epoch: 1 | remaining: 269s    
step 00093 (10.2%) | loss: 6.644162 | lrm: 1.00 | dt: 332ms | tok/sec: 24,660 | epoch: 1 | remaining: 269s    
step 00094 (10.4%) | loss: 6.632569 | lrm: 1.00 | dt: 334ms | tok/sec: 24,548 | epoch: 1 | remaining: 269s    
step 00095 (10.5%) | loss: 6.608318 | lrm: 1.00 | dt: 334ms | tok/sec: 24,511 | epoch: 1 | remaining: 268s    
step 00096 (10.6%) | loss: 6.601579 | lrm: 1.00 | dt: 333ms | tok/sec: 24,626 | epoch: 1 | remaining: 268s    
step 00097 (10.7%) | loss: 6.581703 | lrm: 1.00 | dt: 342ms | tok/sec: 23,965 | epoch: 1 | remaining: 268s    
step 00098 (10.8%) | loss: 6.570482 | lrm: 1.00 | dt: 342ms | tok/sec: 23,933 | epoch: 1 | remaining: 267s    
step 00099 (10.9%) | loss: 6.569687 | lrm: 1.00 | dt: 333ms | tok/sec: 24,582 | epoch: 1 | remaining: 267s    
step 00100 (11.0%) | loss: 6.569288 | lrm: 1.00 | dt: 333ms | tok/sec: 24,630 | epoch: 1 | remaining: 267s    
step 00101 (11.1%) | loss: 6.555605 | lrm: 1.00 | dt: 335ms | tok/sec: 24,435 | epoch: 1 | remaining: 266s    
step 00102 (11.2%) | loss: 6.543239 | lrm: 1.00 | dt: 334ms | tok/sec: 24,557 | epoch: 1 | remaining: 266s    
step 00103 (11.4%) | loss: 6.541304 | lrm: 1.00 | dt: 333ms | tok/sec: 24,584 | epoch: 1 | remaining: 266s    
step 00104 (11.5%) | loss: 6.516080 | lrm: 1.00 | dt: 333ms | tok/sec: 24,615 | epoch: 1 | remaining: 265s    
step 00105 (11.6%) | loss: 6.506758 | lrm: 1.00 | dt: 333ms | tok/sec: 24,606 | epoch: 1 | remaining: 265s    
step 00106 (11.7%) | loss: 6.492064 | lrm: 1.00 | dt: 333ms | tok/sec: 24,599 | epoch: 1 | remaining: 265s    
step 00107 (11.8%) | loss: 6.476959 | lrm: 1.00 | dt: 332ms | tok/sec: 24,669 | epoch: 1 | remaining: 264s    
step 00108 (11.9%) | loss: 6.473731 | lrm: 1.00 | dt: 340ms | tok/sec: 24,127 | epoch: 1 | remaining: 264s    
step 00109 (12.0%) | loss: 6.477853 | lrm: 1.00 | dt: 332ms | tok/sec: 24,709 | epoch: 1 | remaining: 264s    
step 00110 (12.1%) | loss: 6.487873 | lrm: 1.00 | dt: 333ms | tok/sec: 24,577 | epoch: 1 | remaining: 263s    
step 00111 (12.2%) | loss: 6.485824 | lrm: 1.00 | dt: 333ms | tok/sec: 24,576 | epoch: 1 | remaining: 263s    
step 00112 (12.4%) | loss: 6.474101 | lrm: 1.00 | dt: 333ms | tok/sec: 24,585 | epoch: 1 | remaining: 263s    
step 00113 (12.5%) | loss: 6.463904 | lrm: 1.00 | dt: 333ms | tok/sec: 24,621 | epoch: 1 | remaining: 262s    
step 00114 (12.6%) | loss: 6.445154 | lrm: 1.00 | dt: 333ms | tok/sec: 24,612 | epoch: 1 | remaining: 262s    
step 00115 (12.7%) | loss: 6.445556 | lrm: 1.00 | dt: 332ms | tok/sec: 24,640 | epoch: 1 | remaining: 262s    
step 00116 (12.8%) | loss: 6.439841 | lrm: 1.00 | dt: 332ms | tok/sec: 24,694 | epoch: 1 | remaining: 261s    
step 00117 (12.9%) | loss: 6.425118 | lrm: 1.00 | dt: 331ms | tok/sec: 24,723 | epoch: 1 | remaining: 261s    
step 00118 (13.0%) | loss: 6.421196 | lrm: 1.00 | dt: 339ms | tok/sec: 24,170 | epoch: 1 | remaining: 261s    
step 00119 (13.1%) | loss: 6.423478 | lrm: 1.00 | dt: 332ms | tok/sec: 24,696 | epoch: 1 | remaining: 260s    
step 00120 (13.2%) | loss: 6.424223 | lrm: 1.00 | dt: 333ms | tok/sec: 24,628 | epoch: 1 | remaining: 260s    
step 00121 (13.4%) | loss: 6.414323 | lrm: 1.00 | dt: 335ms | tok/sec: 24,425 | epoch: 1 | remaining: 260s    
step 00122 (13.5%) | loss: 6.409419 | lrm: 1.00 | dt: 333ms | tok/sec: 24,616 | epoch: 1 | remaining: 259s    
step 00123 (13.6%) | loss: 6.401138 | lrm: 1.00 | dt: 332ms | tok/sec: 24,675 | epoch: 1 | remaining: 259s    
step 00124 (13.7%) | loss: 6.386929 | lrm: 1.00 | dt: 333ms | tok/sec: 24,622 | epoch: 1 | remaining: 259s    
step 00125 (13.8%) | loss: 6.380278 | lrm: 1.00 | dt: 333ms | tok/sec: 24,569 | epoch: 1 | remaining: 258s    
step 00126 (13.9%) | loss: 6.369929 | lrm: 1.00 | dt: 332ms | tok/sec: 24,679 | epoch: 1 | remaining: 258s    
step 00127 (14.0%) | loss: 6.371643 | lrm: 1.00 | dt: 346ms | tok/sec: 23,695 | epoch: 1 | remaining: 258s    
step 00128 (14.1%) | loss: 6.348389 | lrm: 1.00 | dt: 333ms | tok/sec: 24,580 | epoch: 1 | remaining: 257s    
step 00129 (14.2%) | loss: 6.353384 | lrm: 1.00 | dt: 333ms | tok/sec: 24,630 | epoch: 1 | remaining: 257s    
step 00130 (14.4%) | loss: 6.360697 | lrm: 1.00 | dt: 333ms | tok/sec: 24,629 | epoch: 1 | remaining: 257s    
step 00131 (14.5%) | loss: 6.355281 | lrm: 1.00 | dt: 336ms | tok/sec: 24,386 | epoch: 1 | remaining: 256s    
step 00132 (14.6%) | loss: 6.353626 | lrm: 1.00 | dt: 334ms | tok/sec: 24,560 | epoch: 1 | remaining: 256s    
step 00133 (14.7%) | loss: 6.346947 | lrm: 1.00 | dt: 334ms | tok/sec: 24,511 | epoch: 1 | remaining: 256s    
step 00134 (14.8%) | loss: 6.334522 | lrm: 1.00 | dt: 331ms | tok/sec: 24,723 | epoch: 1 | remaining: 255s    
step 00135 (14.9%) | loss: 6.320358 | lrm: 1.00 | dt: 332ms | tok/sec: 24,681 | epoch: 1 | remaining: 255s    
step 00136 (15.0%) | loss: 6.316737 | lrm: 1.00 | dt: 333ms | tok/sec: 24,613 | epoch: 1 | remaining: 255s    
step 00137 (15.1%) | loss: 6.307987 | lrm: 1.00 | dt: 332ms | tok/sec: 24,652 | epoch: 1 | remaining: 254s    
step 00138 (15.2%) | loss: 6.297717 | lrm: 1.00 | dt: 339ms | tok/sec: 24,144 | epoch: 1 | remaining: 254s    
step 00139 (15.4%) | loss: 6.290522 | lrm: 1.00 | dt: 332ms | tok/sec: 24,655 | epoch: 1 | remaining: 254s    
step 00140 (15.5%) | loss: 6.286630 | lrm: 1.00 | dt: 332ms | tok/sec: 24,652 | epoch: 1 | remaining: 253s    
step 00141 (15.6%) | loss: 6.288842 | lrm: 1.00 | dt: 333ms | tok/sec: 24,630 | epoch: 1 | remaining: 253s    
step 00142 (15.7%) | loss: 6.289381 | lrm: 1.00 | dt: 331ms | tok/sec: 24,714 | epoch: 1 | remaining: 253s    
step 00143 (15.8%) | loss: 6.278808 | lrm: 1.00 | dt: 333ms | tok/sec: 24,605 | epoch: 1 | remaining: 252s    
step 00144 (15.9%) | loss: 6.268646 | lrm: 1.00 | dt: 333ms | tok/sec: 24,634 | epoch: 1 | remaining: 252s    
step 00145 (16.0%) | loss: 6.250383 | lrm: 1.00 | dt: 333ms | tok/sec: 24,609 | epoch: 1 | remaining: 252s    
step 00146 (16.1%) | loss: 6.243584 | lrm: 1.00 | dt: 331ms | tok/sec: 24,747 | epoch: 1 | remaining: 251s    
step 00147 (16.2%) | loss: 6.232421 | lrm: 1.00 | dt: 340ms | tok/sec: 24,075 | epoch: 1 | remaining: 251s    
step 00148 (16.4%) | loss: 6.232228 | lrm: 1.00 | dt: 333ms | tok/sec: 24,613 | epoch: 1 | remaining: 251s    
step 00149 (16.5%) | loss: 6.235423 | lrm: 1.00 | dt: 331ms | tok/sec: 24,728 | epoch: 1 | remaining: 250s    
step 00150 (16.6%) | loss: 6.233496 | lrm: 1.00 | dt: 333ms | tok/sec: 24,629 | epoch: 1 | remaining: 250s    
step 00151 (16.7%) | loss: 6.238703 | lrm: 1.00 | dt: 335ms | tok/sec: 24,452 | epoch: 1 | remaining: 250s    
step 00152 (16.8%) | loss: 6.234796 | lrm: 1.00 | dt: 333ms | tok/sec: 24,604 | epoch: 1 | remaining: 249s    
step 00153 (16.9%) | loss: 6.228157 | lrm: 1.00 | dt: 332ms | tok/sec: 24,711 | epoch: 1 | remaining: 249s    
step 00154 (17.0%) | loss: 6.231178 | lrm: 1.00 | dt: 332ms | tok/sec: 24,645 | epoch: 1 | remaining: 249s    
step 00155 (17.1%) | loss: 6.224783 | lrm: 1.00 | dt: 332ms | tok/sec: 24,639 | epoch: 1 | remaining: 248s    
step 00156 (17.2%) | loss: 6.211837 | lrm: 1.00 | dt: 332ms | tok/sec: 24,658 | epoch: 1 | remaining: 248s    
step 00157 (17.4%) | loss: 6.196047 | lrm: 1.00 | dt: 334ms | tok/sec: 24,494 | epoch: 1 | remaining: 248s    
step 00158 (17.5%) | loss: 6.182649 | lrm: 1.00 | dt: 340ms | tok/sec: 24,079 | epoch: 1 | remaining: 247s    
step 00159 (17.6%) | loss: 6.178586 | lrm: 1.00 | dt: 332ms | tok/sec: 24,661 | epoch: 1 | remaining: 247s    
step 00160 (17.7%) | loss: 6.187938 | lrm: 1.00 | dt: 331ms | tok/sec: 24,740 | epoch: 1 | remaining: 247s    
step 00161 (17.8%) | loss: 6.186159 | lrm: 1.00 | dt: 337ms | tok/sec: 24,317 | epoch: 1 | remaining: 246s    
step 00162 (17.9%) | loss: 6.184342 | lrm: 1.00 | dt: 334ms | tok/sec: 24,514 | epoch: 1 | remaining: 246s    
step 00163 (18.0%) | loss: 6.167252 | lrm: 1.00 | dt: 333ms | tok/sec: 24,636 | epoch: 1 | remaining: 246s    
step 00164 (18.1%) | loss: 6.159869 | lrm: 1.00 | dt: 331ms | tok/sec: 24,729 | epoch: 1 | remaining: 245s    
